"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-02,google,organic,,5608,0,4,4,1016448
2023-06-08,google,organic,,6169,0,4,2,623376
2023-06-01,google,organic,,6713,0,11,3,527398
2023-06-11,google,organic,,3635,0,4,2,370345
2023-06-20,google,organic,,6348,0,10,3,368176
2023-06-21,google,organic,,1060,0,2,2,361334
2023-06-05,organic,organic,,1220,0,2,1,335984
2023-06-26,google,organic,,5764,0,2,1,160920
2023-06-09,google,organic,,5370,0,3,1,134100
2023-06-25,organic,organic,,1516,0,2,1,134100
2023-06-25,admitad,cpa,admitad,79,0,1,1,134100
2023-06-23,google,organic,,5180,0,4,1,120204
2023-06-12,google,organic,,4688,0,2,1,113526
2023-06-25,google,organic,,3550,0,4,2,104850
2023-06-03,google,organic,,3607,0,3,1,85144
